xtb_force,mace_r0_force,mace_r1_force
-0.01114234,-0.017116925,-0.016770214
0.00109354,-0.0010614054,-0.0001798806
0.009042,0.0023722325,0.0022204404
-0.03829405,-0.043731343,-0.04435942
0.00015156,0.0039701294,0.0030815937
-0.01566234,-0.021536542,-0.021926463
0.55068063,0.54674876,0.5560534
0.01832212,0.032115053,0.031340923
-0.00236557,0.0038021964,0.0038477874
-0.02613961,-0.033521265,-0.033976395
-0.00021325,0.006718895,0.005107044
-0.24617029,-0.24415998,-0.24383025
-0.36274975,-0.35686794,-0.36280307
-0.0891136,-0.090643324,-0.09305022
0.06392863,0.055427056,0.053388715
-0.42450512,-0.41233394,-0.42073599
-0.091133,-0.08970857,-0.09162744
-0.05655933,-0.05799051,-0.05403535
-0.46286177,-0.4620967,-0.4652631
-0.10615777,-0.11054287,-0.11239139
-0.12887191,-0.12258735,-0.12572749
-0.51259602,-0.5040037,-0.51080984
-0.10428603,-0.09875163,-0.10288543
0.542348,0.5296032,0.5377012
-0.63231845,-0.6375565,-0.63597584
-0.12598139,-0.12974827,-0.13114373
0.54061616,0.53234977,0.5383658
0.63031713,0.63080305,0.6310404
0.09380968,0.1020178,0.10068538
-0.1170429,-0.12525581,-0.12585048
0.52112344,0.51459473,0.5209798
0.07078906,0.067973346,0.0661071
-0.11465132,-0.12953119,-0.12351632
0.45680147,0.45006976,0.4531549
0.04957821,0.051117104,0.051507074
-0.14802314,-0.15145989,-0.15620007
0.35584017,0.32807142,0.33991086
0.03751298,0.036644787,0.03684432
0.47340613,0.47315994,0.47457266
0.35111626,0.33464217,0.34114227
0.02987791,0.03405662,0.033245612
0.20943511,0.2061959,0.20628512
-0.45563817,-0.44392577,-0.45191583
-0.09649609,-0.09902462,-0.100241475
-0.01127088,-0.0005301206,-0.0004705532
0.03595901,0.045515675,0.045545455
0.00614277,0.0086011635,0.008930794
0.01978759,0.023706093,0.023498764
0.01198664,0.019929817,0.01954785
0.0018224,0.0046568564,0.004346803
-0.02255281,-0.031129817,-0.030026495
-0.05355633,-0.051140215,-0.04969949
-0.0102499,-0.012033436,-0.012245953
-0.0209244,-0.02480034,-0.0248788
0.05522102,0.051436454,0.05085474
0.00722179,0.0044059083,0.0022786725
0.01968571,0.024747698,0.02468057
-0.00605024,-0.007878463,-0.008086567
-0.00569878,-0.0054659746,-0.006619159
-0.01136201,0.0014414437,0.0016054893
-0.02940506,-0.031868517,-0.033209573
-0.01037472,-0.00974675,-0.010660867
-0.00253829,0.0007300635,0.00091937254
0.02654713,0.03798293,0.037882302
0.00471959,0.006094122,0.0065392978
-0.30018473,-0.2978187,-0.2988788
-0.37203014,-0.3654666,-0.37156177
-0.09071109,-0.092170335,-0.09464679
-0.35878532,-0.36163053,-0.36234882
0.37018853,0.35215434,0.35908255
0.03323786,0.036883432,0.036201384
0.12503414,0.12241473,0.12649728
0.33349093,0.30556938,0.31729499
0.03351967,0.03257116,0.0327609
0.13743797,0.14942567,0.14378868
0.48406702,0.47630915,0.47990122
0.05438133,0.055387583,0.05593195
0.10737491,0.11459919,0.114765845
0.52189559,0.5154709,0.52193636
0.07092409,0.0682308,0.0663973
-0.53535084,-0.5268546,-0.53282
0.64411253,0.64300966,0.6439318
0.09623825,0.10410301,0.10288512
-0.53112458,-0.5190149,-0.52691656
-0.64848924,-0.6524558,-0.65146637
-0.12883615,-0.13226584,-0.13379775
0.105272,0.09740361,0.10096827
-0.51834979,-0.51119876,-0.51767033
-0.10534758,-0.10009322,-0.1041392
0.14418618,0.14961742,0.14551198
-0.49023208,-0.4859023,-0.48974097
-0.1109317,-0.11484065,-0.11684757
0.11160235,0.11801415,0.12048968
-0.33334669,-0.3157641,-0.32428515
-0.07513443,-0.07287219,-0.0747328
0.00939386,0.0021761705,0.0020077743
0.03880732,0.04920845,0.048966635
0.00667423,0.009537872,0.009770711
-0.01904397,-0.023979256,-0.023778101
0.01204441,0.019996574,0.019576415
0.00184757,0.00474428,0.00441602
0.02290762,0.03137523,0.030294353
-0.05377144,-0.05159867,-0.050029516
-0.01028236,-0.012050985,-0.012250036
0.02085914,0.024464345,0.024567047
0.05532856,0.05147341,0.050928637
0.00723826,0.004492925,0.0023573786
-0.01971231,-0.024861768,-0.024867706
-0.00591977,-0.007868215,-0.008063987
-0.0056788,-0.005498295,-0.0066486797
0.00894012,0.002394761,0.002213796
-0.03223494,-0.034952193,-0.036183998
-0.01088472,-0.010232131,-0.011108656
-0.0156703,-0.021570241,-0.021946281
0.54179188,0.5319637,0.5426722
0.07014801,0.06326241,0.0650687
-0.00237495,0.0038167473,0.0038592082
-0.02025269,-0.02527388,-0.02636242
-0.0086758,-0.011953141,-0.0118704885
-0.24596888,-0.24301378,-0.24283706
-0.36745322,-0.36143985,-0.3666978
0.01674151,-0.0012091707,-0.0009789137
0.0640399,0.051833335,0.050671782
-0.42470312,-0.4120048,-0.42049888
0.00119394,0.000573935,0.0004790155
-0.05595439,-0.05147027,-0.048000634
-0.4679412,-0.46883917,-0.4706037
0.01697091,-0.0008840741,-0.0006749099
